MGYA00241812	ERZ501915
MGYA00241462	ERZ501916
MGYA00241813	ERZ501917
MGYA00241463	ERZ501918
MGYA00241814	ERZ501919
MGYA00241464	ERZ501920
MGYA00241828	ERZ501921
MGYA00241465	ERZ501922
MGYA00241829	ERZ501923
MGYA00241466	ERZ501924
MGYA00241830	ERZ501925
MGYA00241832	ERZ501929
MGYA00241833	ERZ501931
MGYA00241834	ERZ501933
MGYA00241471	ERZ501934
MGYA00241836	ERZ501937
MGYA00241473	ERZ501938
MGYA00241474	ERZ501939
MGYA00241475	ERZ501941
MGYA00241838	ERZ501942
MGYA00241839	ERZ501944
MGYA00241477	ERZ501946
MGYA00241841	ERZ501947
MGYA00241478	ERZ501948
MGYA00241842	ERZ501949
MGYA00241479	ERZ501950
MGYA00241843	ERZ501951
MGYA00241480	ERZ501952
MGYA00241844	ERZ501953
MGYA00241481	ERZ501954
MGYA00241845	ERZ501955
MGYA00241482	ERZ501956
MGYA00241846	ERZ501957
MGYA00241483	ERZ501958
MGYA00241847	ERZ501959
MGYA00241484	ERZ501960
MGYA00241848	ERZ501961
MGYA00241485	ERZ501962
MGYA00241849	ERZ501963
MGYA00241486	ERZ501964
MGYA00241850	ERZ501965
MGYA00241487	ERZ501966
MGYA00241851	ERZ501967
MGYA00241488	ERZ501968
MGYA00241852	ERZ501969
MGYA00241489	ERZ501970
MGYA00241853	ERZ501971
MGYA00241490	ERZ501972
MGYA00241854	ERZ501973
MGYA00241491	ERZ501974
MGYA00241093	ERZ501975
MGYA00241492	ERZ501976
MGYA00241094	ERZ501977
MGYA00241493	ERZ501978
MGYA00241095	ERZ501979
MGYA00241494	ERZ501980
MGYA00241096	ERZ501981
MGYA00241495	ERZ501982
MGYA00241097	ERZ501983
MGYA00241496	ERZ501984
MGYA00241098	ERZ501985
MGYA00241497	ERZ501986
MGYA00241099	ERZ501987
MGYA00241498	ERZ501988
MGYA00241100	ERZ501989
MGYA00241499	ERZ501990
MGYA00241101	ERZ501991
MGYA00241500	ERZ501992
MGYA00241102	ERZ501993
MGYA00241501	ERZ501994
MGYA00241103	ERZ501995
MGYA00241502	ERZ501996
MGYA00241104	ERZ501997
MGYA00241503	ERZ501998
MGYA00241105	ERZ501999
MGYA00241504	ERZ502000
MGYA00241106	ERZ502001
MGYA00241107	ERZ502003
MGYA00241506	ERZ502004
MGYA00241108	ERZ502005
MGYA00241507	ERZ502006
MGYA00241109	ERZ502007
MGYA00241508	ERZ502008
MGYA00241110	ERZ502009
MGYA00241509	ERZ502010
MGYA00241111	ERZ502011
MGYA00241510	ERZ502012
MGYA00241112	ERZ502013
MGYA00241113	ERZ502015
MGYA00241512	ERZ502016
MGYA00241114	ERZ502017
MGYA00241513	ERZ502018
MGYA00241115	ERZ502019
MGYA00241514	ERZ502020
MGYA00241116	ERZ502021
MGYA00241515	ERZ502022
MGYA00241117	ERZ502023
MGYA00241516	ERZ502024
MGYA00241118	ERZ502025
MGYA00241517	ERZ502026
MGYA00241119	ERZ502027
MGYA00241518	ERZ502028
MGYA00241120	ERZ502029
MGYA00241519	ERZ502030
MGYA00241121	ERZ502031
MGYA00241520	ERZ502032
MGYA00241122	ERZ502033
MGYA00241521	ERZ502034
MGYA00241707	ERZ502035
MGYA00241139	ERZ502036
MGYA00241767	ERZ502037
MGYA00241140	ERZ502038
MGYA00241768	ERZ502039
MGYA00241141	ERZ502040
MGYA00241142	ERZ502041
MGYA00241769	ERZ502042
MGYA00241143	ERZ502043
MGYA00241770	ERZ502044
MGYA00241771	ERZ502046
MGYA00242470	ERZ504477
MGYA00242635	ERZ504478
MGYA00242471	ERZ504479
MGYA00242636	ERZ504480
MGYA00242472	ERZ504481
