ERZ1740087,MGYA00588740
ERZ1740154,MGYA00588676
ERZ1740156,MGYA00588716
ERZ1740200,MGYA00588667
ERZ1674120,MGYA00581339
ERZ1740101,MGYA00588750
ERZ1674095,MGYA00581371
ERZ1674094,MGYA00581372
ERZ1674119,MGYA00581355
ERZ1674153,MGYA00581251
ERZ1674221,MGYA00581219
ERZ1674301,MGYA00581111
ERZ1674090,MGYA00581375
ERZ1674170,MGYA00581300
ERZ1674089,MGYA00581376
ERZ1674093,MGYA00581116
ERZ1674128,MGYA00581323
ERZ1674276,MGYA00581194
ERZ1674285,MGYA00581228
ERZ1674302,MGYA00581183
ERZ1674082,MGYA00581118
ERZ1699259,MGYA00581525
ERZ1699261,MGYA00581524
ERZ1674106,MGYA00581364
ERZ1674154,MGYA00581306
ERZ1674102,MGYA00581366
ERZ1674101,MGYA00581345
ERZ1674111,MGYA00581360
ERZ1674308,MGYA00581180
ERZ1674105,MGYA00581343
ERZ1674175,MGYA00581299
ERZ1674278,MGYA00581231
ERZ1674281,MGYA00581193
ERZ1674294,MGYA00581383
ERZ1740100,MGYA00588654
ERZ1740202,MGYA00588631
ERZ1674117,MGYA00581356
ERZ1674112,MGYA00581386
ERZ1674115,MGYA00581357
